City;DMU;;;;;;
;;Input1;Input2;Input3;Output1;Output2 ;Output3
Beijing;1;110;794509;724255;2374342;680119;12790
Changchum;2;31;183319;101556;473369;118062;3460
Changsha;3;18;99307;83395;255540;50355;2652
Chengdu;4;47;304726;173655;734613;150853;4381
Chongqing;5;77;443862;210947;1037584;189878;5233
Dalian;6;38;282373;198278;753961;194512;3708
Fuzhou;7;16;96623;103560;222634;43984;2222
Guangzhou;8;51;389641;354879;1154147;275588;8362
Guiyang;9;18;101368;76476;257718;72917;1118
Hangzhou;10;34;212524;120028;726172;159354;4106
Harbin;11;48;356752;138972;672427;124508;3856
Hefei;12;17;95076;56690;270087;62387;1486
Hohot;13;10;56096;42493;127132;33069;852
Jinan;14;26;152034;78312;441724;109039;2441
Kunming;15;28;168224;112871;439756;117719;2148
Lanzhou;16;36;235416;107328;580669;140557;2151
Lhasa;17;0;1908;7394;1665;286;398
Nanchang;18;23;129132;42700;317158;61472;1663
Nanjing;19;42;269246;222623;836544;208006;3779
Nanning;20;11;59166;36627;176140;139399;1253
Ningbo;21;14;69895;72845;320516;74492;2866
Shanghai;22;207;1577603;959226;6743346;1880041;18316
Shenyang;23;69;419358;198494;1017454;195987;5072
Shenzhen;24;3;35478;278230;78313;11461;2778
Shijiazhuang;25;25;138931;68661;453445;94216;1745
Taiyuan;26;38;221065;170776;513907;84812;1896
Tianjin;27;98;628243;541587;2252611;538202;6895
Urumqi;28;16;94622;130771;204232;38294;1323
Wuhan;29;65;442813;183811;1218527;295199;5090
Xiamen;30;6;46821;97627;130646;37698;1109
Xian;31;46;294539;140906;635575;101261;3292
Xining;32;11;74188;45629;100509;18627;858
Yinchuan;33;5;30959;46014;59757;11458;524
Zhengzhou;34;28;144141;86791;413025;105784;2359
Zhuhai;35;1;12504;86457;35760;6667;1046
